time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
86360,100.0,104.0,0.05,0.05,100.0,0.49,18,68,61,0
86370,100.0,104.0,0.05,0.05,100.0,0.49,20,69,61,0
86380,64.0,65.0,0.03,0.03,100.0,0.3,19,68,61,0
86390,68.0,133.0,0.03,0.03,100.0,0.3,19,69,61,0
86400,82.0,92.0,0.0,0.0,100.0,0.3,22,68,61,0
86410,100.0,169.0,0.07,0.08,50.0,0.77,23,68,61,0
86420,54.0,177.0,0.2,0.32,200.0,0.59,24,68,61,0
86430,68.0,82.0,0.0,0.0,100.0,0.3,28,68,61,0
86440,94.0,109.0,0.19,0.26,50.0,0.49,26,68,61,0
86450,99.0,133.0,0.04,0.04,100.0,0.59,25,68,61,0
86460,97.0,104.0,0.04,0.04,100.0,0.59,24,68,64,0
86470,81.0,120.0,0.03,0.03,100.0,0.3,24,68,64,0
86480,106.0,107.0,0.03,0.03,100.0,0.59,25,68,64,0
86490,104.0,105.0,0.03,0.03,100.0,0.59,21,68,64,0
86500,157.0,645.0,0.24,0.29,100.0,0.3,21,69,64,0
86510,87.0,100.0,0.03,0.03,50.0,0.2,22,69,64,0
86520,21.0,116.0,0.05,0.18,100.0,0.3,21,69,64,0
86530,98.0,98.0,0.02,0.02,100.0,0.3,21,69,64,0
86540,94.0,106.0,0.1,0.1,50.0,0.2,22,70,64,0
86550,76.0,113.0,0.18,0.0,100.0,0.3,20,70,64,0
86560,99.0,103.0,0.0,0.0,100.0,0.2,20,70,64,0
86570,99.0,103.0,0.0,0.0,100.0,0.2,18,70,64,0
86580,18.0,27.0,0.05,0.06,50.0,0.59,20,70,61,0
86590,121.0,166.0,0.15,0.19,100.0,0.59,22,70,61,0
86600,61.0,94.0,0.1,0.11,100.0,0.3,21,70,61,0
86610,61.0,94.0,0.1,0.11,100.0,0.3,23,71,61,0
